USD Rate MKT Data,,"Conv, adj",StartDate,EndDate
Libor3m,0.001295,,10/28/21,1/28/22
EDZ1,99.81,0.00014,12/15/21,3/15/22
EDH2,99.785,0.00073,3/16/22,6/16/22
EDM2,99.68,0.00165,6/15/22,9/15/22
EDU2,99.52,0.00287,9/21/22,12/21/22
EDZ2,99.295,0.00451,12/21/22,3/21/23
EDH3,99.11,0.00636,3/15/23,6/15/23
EDM3,98.92,0.00839,6/21/23,9/21/23
EDU3,98.69,0.01104,9/20/23,12/20/23
EDZ3,98.585,0.0138,12/20/23,3/20/24
EDH4,98.49,0.01688,3/20/24,6/20/24
EDM4,98.41,0.01387,6/19/24,9/19/24
EDU4,98.335,0.01696,9/18/24,12/18/24